1. Age,2. Gender,3. University,4. Department,5. Academic Year,6. Current CGPA,7. Did you receive a waiver or scholarship at your university?,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","6. In a semester, how often you felt as if things in your academic life is going on your way? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ","8. In a semester, how often you felt as if your academic performance was on top?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","5. In a semester, how often have you worried too much about academic affairs? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","7. In a semester, how often have you felt afraid, as if something awful might happen?","1. In a semester, how often have you had little interest or pleasure in doing things?","2. In a semester, how often have you been feeling down, depressed or hopeless?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","4. In a semester, how often have you been feeling tired or having little energy? ","5. In a semester, how often have you had poor appetite or overeating? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? "
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,3 - Fairly Often,4 - Very Often,3 - Fairly Often,2 - Sometimes,2 - Sometimes,1 - Almost Never,2 - Sometimes,2 - Sometimes,4 - Very Often,4 - Very Often,2 - More than half the semester,2 - More than half the days,3 - Nearly every day,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,3 - Nearly every day,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,3 - Nearly every day,2 - More than half the days
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3 - Fairly Often,3 - Fairly Often,4 - Very Often,2 - Sometimes,3 - Fairly Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Fairly Often,1 - Several days (less than 15 days),2 - More than half the days,2 - More than half the days,1 - Several days,1 - Several days,3 - Nearly every day,2 - More than half the days,3 - Nearly every day,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days,2 - More than half the days
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,0 - Never,0 - Never,0 - Never,0 - Never,0 - Never,1 - Almost Never,0 - Never,0 - Never,0 - Never,0 - Never,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3 - Fairly Often,1 - Almost Never,2 - Sometimes,1 - Almost Never,4 - Very Often,3 - Fairly Often,2 - Sometimes,2 - Sometimes,3 - Fairly Often,2 - Sometimes,2 - More than half the semester,1 - Several days,1 - Several days,1 - Several days,2 - More than half the days,1 - Several days,2 - More than half the days,2 - More than half the days,1 - Several days,2 - More than half the days,1 - Several days,2 - More than half the days,1 - Several days,2 - More than half the days,2 - More than half the days,1 - Several days
18-22,Male,North South University (NSU),Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,4 - Very Often,4 - Very Often,4 - Very Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,0 - Never,2 - Sometimes,4 - Very Often,4 - Very Often,3 - Nearly every day,0 - Not at all,3 - Nearly every day,3 - Nearly every day,1 - Several days,1 - Several days,3 - Nearly every day,1 - Several days,3 - Nearly every day,3 - Nearly every day,3 - Nearly every day,1 - Several days,3 - Nearly every day,0 - Not at all,3 - Nearly every day,3 - Nearly every day
23-26,Male,Islamic University of Technology (IUT),Engineering - CS / CSE / CSC / Similar to CS,Other,3.00 - 3.39,No,1 - Almost Never,1 - Almost Never,1 - Almost Never,3 - Fairly Often,3 - Fairly Often,3 - Fairly Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,0 - Not at all,1 - Several days,1 - Several days,2 - More than half the days,1 - Several days,1 - Several days,0 - Not at all,1 - Several days,1 - Several days,1 - Several days,2 - More than half the days,2 - More than half the days,1 - Several days,2 - More than half the days,0 - Not at all,0 - Not at all
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,0 - Never,0 - Not at all,1 - Several days,1 - Several days,1 - Several days,0 - Not at all,1 - Several days,1 - Several days,1 - Several days,0 - Not at all,0 - Not at all,1 - Several days,0 - Not at all,0 - Not at all,0 - Not at all,1 - Several days,0 - Not at all
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,3.00 - 3.39,No,0 - Never,0 - Never,0 - Never,0 - Never,2 - Sometimes,4 - Very Often,0 - Never,2 - Sometimes,0 - Never,0 - Never,0 - Not at all,0 - Not at all,1 - Several days,0 - Not at all,0 - Not at all,1 - Several days,2 - More than half the days,0 - Not at all,0 - Not at all,0 - Not at all,2 - More than half the days,0 - Not at all,0 - Not at all,1 - Several days,0 - Not at all,0 - Not at all
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,2 - Sometimes,3 - Fairly Often,2 - Sometimes,1 - Almost Never,0 - Never,3 - Fairly Often,0 - Never,2 - Sometimes,3 - Fairly Often,2 - Sometimes,2 - More than half the semester,1 - Several days,1 - Several days,1 - Several days,2 - More than half the days,3 - Nearly every day,3 - Nearly every day,3 - Nearly every day,3 - Nearly every day,2 - More than half the days,1 - Several days,2 - More than half the days,3 - Nearly every day,2 - More than half the days,1 - Several days,2 - More than half the days
18-22,Male,Islamic University of Technology (IUT),Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,No,2 - Sometimes,2 - Sometimes,3 - Fairly Often,2 - Sometimes,3 - Fairly Often,3 - Fairly Often,3 - Fairly Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,1 - Several days (less than 15 days),1 - Several days,2 - More than half the days,1 - Several days,1 - Several days,0 - Not at all,0 - Not at all,1 - Several days,0 - Not at all,0 - Not at all,1 - Several days,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all
