True_Class,Explained_Class,Feature,Weight
Challenged,Stable,PHQ2,0.054048
Challenged,Stable,PHQ6,0.040608
Challenged,Stable,GAD4,0.035478
Challenged,Stable,PHQ4,0.032761
Challenged,Stable,GAD7,0.0295
Challenged,Stable,PHQ3,0.028085
Challenged,Stable,PSS2,0.027241
Challenged,Stable,PSS3,0.026465
Challenged,Stable,PHQ5,0.025666
Challenged,Stable,PHQ7,0.023504
Challenged,Stable,PHQ8,0.023169
Challenged,Stable,GAD5,-0.015704
Challenged,Stable,GAD3,0.013974
Challenged,Stable,GAD1,0.013374
Challenged,Stable,GAD6,-0.0022
Challenged,Challenged,GAD5,0.16334
Challenged,Challenged,PHQ7,0.153119
Challenged,Challenged,PHQ5,0.131555
Challenged,Challenged,GAD3,0.129418
Challenged,Challenged,GAD4,0.120603
Challenged,Challenged,PHQ8,0.117721
Challenged,Challenged,GAD1,0.112654
Challenged,Challenged,PHQ3,0.108923
Challenged,Challenged,GAD7,0.107084
Challenged,Challenged,PHQ2,0.08905
Challenged,Challenged,PHQ6,0.08358
Challenged,Challenged,GAD6,-0.056423
Challenged,Challenged,PSS2,0.043914
Challenged,Challenged,PHQ4,0.030458
Challenged,Challenged,PSS3,0.028438
Challenged,Critical,PHQ7,-0.176623
Challenged,Critical,PHQ5,-0.157221
Challenged,Critical,GAD4,-0.156082
Challenged,Critical,GAD5,-0.147636
Challenged,Critical,GAD3,-0.143392
Challenged,Critical,PHQ2,-0.143097
Challenged,Critical,PHQ8,-0.14089
Challenged,Critical,PHQ3,-0.137008
Challenged,Critical,GAD7,-0.136584
Challenged,Critical,GAD1,-0.126027
Challenged,Critical,PHQ6,-0.124188
Challenged,Critical,PSS2,-0.071156
Challenged,Critical,PHQ4,-0.063219
Challenged,Critical,GAD6,0.058623
Challenged,Critical,PSS3,-0.054903
