True_Class,Explained_Class,Feature,Weight
Stable,Stable,PHQ2,0.05734
Stable,Stable,PHQ6,0.04595
Stable,Stable,PHQ4,0.04305
Stable,Stable,GAD4,0.040918
Stable,Stable,PSS3,0.035996
Stable,Stable,GAD7,0.032413
Stable,Stable,PSS2,0.030733
Stable,Stable,PHQ3,0.03046
Stable,Stable,PHQ8,0.026822
Stable,Stable,PHQ5,0.026713
Stable,Stable,PHQ7,0.023894
Stable,Stable,GAD3,0.019554
Stable,Stable,GAD5,-0.01283
Stable,Stable,GAD1,0.01169
Stable,Stable,GAD6,-0.006106
Stable,Challenged,GAD5,0.166685
Stable,Challenged,PHQ7,0.158244
Stable,Challenged,PHQ5,0.134433
Stable,Challenged,GAD4,0.127595
Stable,Challenged,GAD3,0.126779
Stable,Challenged,GAD6,-0.121484
Stable,Challenged,GAD7,0.115764
Stable,Challenged,GAD1,0.109039
Stable,Challenged,PHQ8,0.107094
Stable,Challenged,PHQ3,0.106086
Stable,Challenged,PHQ2,0.086517
Stable,Challenged,PHQ6,0.081836
Stable,Challenged,PSS2,0.031478
Stable,Challenged,PHQ4,0.02727
Stable,Challenged,PSS3,0.024868
Stable,Critical,PHQ7,-0.182137
Stable,Critical,GAD4,-0.168513
Stable,Critical,PHQ5,-0.161146
Stable,Critical,GAD5,-0.153855
Stable,Critical,GAD7,-0.148177
Stable,Critical,GAD3,-0.146332
Stable,Critical,PHQ2,-0.143857
Stable,Critical,PHQ3,-0.136546
Stable,Critical,PHQ8,-0.133916
Stable,Critical,PHQ6,-0.127785
Stable,Critical,GAD6,0.12759
Stable,Critical,GAD1,-0.120729
Stable,Critical,PHQ4,-0.070321
Stable,Critical,PSS2,-0.06221
Stable,Critical,PSS3,-0.060863
