True_Class,Explained_Class,Feature,Weight
Stable,Stable,PHQ2,0.05734
Stable,Stable,PHQ6,0.04595
Stable,Stable,PHQ4,0.04305
Stable,Stable,GAD4,0.040918
Stable,Stable,PSS3,0.035996
Stable,Stable,GAD7,0.032413
Stable,Stable,PSS2,0.030733
Stable,Stable,PHQ3,0.03046
Stable,Stable,PHQ8,0.026822
Stable,Stable,PHQ5,0.026713
Stable,Stable,PHQ7,0.023894
Stable,Stable,GAD3,0.019554
Stable,Stable,GAD5,-0.01283
Stable,Stable,GAD1,0.01169
Stable,Stable,GAD6,-0.006106
Stable,Challenged,GAD5,0.166685
Stable,Challenged,PHQ7,0.158244
Stable,Challenged,PHQ5,0.134433
Stable,Challenged,GAD4,0.127595
Stable,Challenged,GAD3,0.126779
Stable,Challenged,GAD6,-0.121484
Stable,Challenged,GAD7,0.115764
Stable,Challenged,GAD1,0.109039
Stable,Challenged,PHQ8,0.107094
Stable,Challenged,PHQ3,0.106086
Stable,Challenged,PHQ2,0.086517
Stable,Challenged,PHQ6,0.081836
Stable,Challenged,PSS2,0.031478
Stable,Challenged,PHQ4,0.02727
Stable,Challenged,PSS3,0.024868
Stable,Critical,PHQ7,-0.182137
Stable,Critical,GAD4,-0.168513
Stable,Critical,PHQ5,-0.161146
Stable,Critical,GAD5,-0.153855
Stable,Critical,GAD7,-0.148177
Stable,Critical,GAD3,-0.146332
Stable,Critical,PHQ2,-0.143857
Stable,Critical,PHQ3,-0.136546
Stable,Critical,PHQ8,-0.133916
Stable,Critical,PHQ6,-0.127785
Stable,Critical,GAD6,0.12759
Stable,Critical,GAD1,-0.120729
Stable,Critical,PHQ4,-0.070321
Stable,Critical,PSS2,-0.06221
Stable,Critical,PSS3,-0.060863
Challenged,Stable,PHQ2,0.054048
Challenged,Stable,PHQ6,0.040608
Challenged,Stable,GAD4,0.035478
Challenged,Stable,PHQ4,0.032761
Challenged,Stable,GAD7,0.0295
Challenged,Stable,PHQ3,0.028085
Challenged,Stable,PSS2,0.027241
Challenged,Stable,PSS3,0.026465
Challenged,Stable,PHQ5,0.025666
Challenged,Stable,PHQ7,0.023504
Challenged,Stable,PHQ8,0.023169
Challenged,Stable,GAD5,-0.015704
Challenged,Stable,GAD3,0.013974
Challenged,Stable,GAD1,0.013374
Challenged,Stable,GAD6,-0.0022
Challenged,Challenged,GAD5,0.16334
Challenged,Challenged,PHQ7,0.153119
Challenged,Challenged,PHQ5,0.131555
Challenged,Challenged,GAD3,0.129418
Challenged,Challenged,GAD4,0.120603
Challenged,Challenged,PHQ8,0.117721
Challenged,Challenged,GAD1,0.112654
Challenged,Challenged,PHQ3,0.108923
Challenged,Challenged,GAD7,0.107084
Challenged,Challenged,PHQ2,0.08905
Challenged,Challenged,PHQ6,0.08358
Challenged,Challenged,GAD6,-0.056423
Challenged,Challenged,PSS2,0.043914
Challenged,Challenged,PHQ4,0.030458
Challenged,Challenged,PSS3,0.028438
Challenged,Critical,PHQ7,-0.176623
Challenged,Critical,PHQ5,-0.157221
Challenged,Critical,GAD4,-0.156082
Challenged,Critical,GAD5,-0.147636
Challenged,Critical,GAD3,-0.143392
Challenged,Critical,PHQ2,-0.143097
Challenged,Critical,PHQ8,-0.14089
Challenged,Critical,PHQ3,-0.137008
Challenged,Critical,GAD7,-0.136584
Challenged,Critical,GAD1,-0.126027
Challenged,Critical,PHQ6,-0.124188
Challenged,Critical,PSS2,-0.071156
Challenged,Critical,PHQ4,-0.063219
Challenged,Critical,GAD6,0.058623
Challenged,Critical,PSS3,-0.054903
Critical,Stable,PHQ2,-0.026992
Critical,Stable,GAD4,-0.02141
Critical,Stable,PSS3,-0.020406
Critical,Stable,PHQ5,0.019748
Critical,Stable,PSS2,-0.019558
Critical,Stable,PHQ6,-0.017486
Critical,Stable,GAD7,-0.015983
Critical,Stable,PHQ3,-0.015581
Critical,Stable,PHQ7,-0.015446
Critical,Stable,PHQ8,-0.014173
Critical,Stable,GAD3,-0.012976
Critical,Stable,PHQ4,-0.011825
Critical,Stable,GAD1,-0.006376
Critical,Stable,GAD5,0.003816
Critical,Stable,GAD6,-0.002052
Critical,Challenged,PHQ7,-0.128695
Critical,Challenged,PHQ5,0.117282
Critical,Challenged,GAD6,-0.071794
Critical,Challenged,GAD3,-0.070361
Critical,Challenged,GAD1,-0.067554
Critical,Challenged,PSS3,-0.06458
Critical,Challenged,PHQ8,-0.063429
Critical,Challenged,PHQ2,0.057259
Critical,Challenged,GAD7,-0.053211
Critical,Challenged,GAD4,-0.046516
Critical,Challenged,PHQ6,-0.043916
Critical,Challenged,PHQ3,-0.039551
Critical,Challenged,GAD5,-0.023813
Critical,Challenged,PSS2,-0.022318
Critical,Challenged,PHQ4,-0.011874
Critical,Critical,PHQ7,0.144141
Critical,Critical,PHQ5,-0.137031
Critical,Critical,PSS3,0.084985
Critical,Critical,GAD3,0.083337
Critical,Critical,PHQ8,0.077602
Critical,Critical,GAD1,0.07393
Critical,Critical,GAD6,0.073846
Critical,Critical,GAD7,0.069194
Critical,Critical,GAD4,0.067926
Critical,Critical,PHQ6,0.061401
Critical,Critical,PHQ3,0.055133
Critical,Critical,PSS2,0.041876
Critical,Critical,PHQ2,-0.030267
Critical,Critical,PHQ4,0.023699
Critical,Critical,GAD5,0.019997
