Feature,Mean_Abs_SHAP_Stable,Mean_Abs_SHAP_Challenged,Mean_Abs_SHAP_Critical,Mean_Abs_SHAP_Global
PHQ2,0.661762,0.224474,0.558813,0.481683
GAD4,0.62583,0.404145,0.285746,0.438574
PHQ6,0.640773,0.196556,0.39676,0.411363
PHQ3,0.565527,0.215464,0.397662,0.392884
GAD7,0.42895,0.325538,0.300902,0.351797
PHQ5,0.276935,0.230082,0.386841,0.297953
PSS2,0.461766,0.223417,0.135206,0.273463
GAD5,0.127943,0.480807,0.205984,0.271578
PHQ4,0.396567,0.06667,0.308914,0.257384
GAD3,0.219977,0.279445,0.257381,0.252268
PHQ8,0.352,0.153876,0.245475,0.25045
PHQ7,0.153729,0.191234,0.368756,0.237906
GAD1,0.173949,0.268797,0.24454,0.229095
GAD6,0.063016,0.238113,0.336948,0.212692
PSS3,0.223001,0.157114,0.125971,0.168695
