Feature_Method,Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,F1_Macro
rfe,ANN,0.9062,0.9129,0.9062,0.9082,0.8453
skb,ANN,0.9037,0.9104,0.9037,0.9054,0.8296
fscs,ANN,0.8815,0.8991,0.8815,0.8871,0.8081
etc,ANN,0.921,0.9267,0.921,0.9227,0.8577
pc,ANN,0.9062,0.91,0.9062,0.9072,0.8343
mi,ANN,0.9136,0.9189,0.9136,0.9153,0.8435
mir,ANN,0.9136,0.9199,0.9136,0.916,0.8355
mu,ANN,0.9136,0.9194,0.9136,0.9155,0.8484
vt,ANN,0.8395,0.8512,0.8395,0.8433,0.7416
rfe,CNN,0.8963,0.9042,0.8963,0.8988,0.8335
skb,CNN,0.8889,0.9041,0.8889,0.892,0.8348
fscs,CNN,0.8963,0.9077,0.8963,0.9002,0.8232
etc,CNN,0.9235,0.9255,0.9235,0.9243,0.8585
pc,CNN,0.8914,0.8938,0.8914,0.8921,0.838
mi,CNN,0.9185,0.9206,0.9185,0.9194,0.8471
mir,CNN,0.9062,0.9129,0.9062,0.9083,0.8593
mu,CNN,0.9086,0.9157,0.9086,0.911,0.8408
vt,CNN,0.8296,0.8401,0.8296,0.8332,0.7736
