Feature_Method,Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,F1_Macro
rfe,LR,0.8444,0.8705,0.8444,0.8527,0.7671
rfe,DT,0.8444,0.8491,0.8444,0.8461,0.7848
rfe,RF,0.8963,0.8988,0.8963,0.8973,0.841
rfe,KNN,0.8568,0.8799,0.8568,0.8632,0.7988
rfe,SVM,0.8864,0.9008,0.8864,0.8906,0.8288
rfe,GB,0.8864,0.8909,0.8864,0.8879,0.8537
rfe,XGB,0.8963,0.8975,0.8963,0.8968,0.8358
rfe,LGBM,0.8963,0.8993,0.8963,0.8975,0.8438
skb,LR,0.842,0.8633,0.842,0.8489,0.7659
skb,DT,0.8667,0.8661,0.8667,0.8663,0.8044
skb,RF,0.9111,0.9111,0.9111,0.9111,0.849
skb,KNN,0.8765,0.8926,0.8765,0.8813,0.808
skb,SVM,0.8914,0.9037,0.8914,0.8949,0.8336
skb,GB,0.9012,0.904,0.9012,0.9023,0.8563
skb,XGB,0.9136,0.9134,0.9136,0.9135,0.8632
skb,LGBM,0.9086,0.9094,0.9086,0.909,0.8502
fscs,LR,0.8395,0.8648,0.8395,0.8472,0.7526
fscs,DT,0.8716,0.875,0.8716,0.8717,0.8016
fscs,RF,0.8963,0.8993,0.8963,0.8975,0.8438
fscs,KNN,0.8346,0.8642,0.8346,0.843,0.7694
fscs,SVM,0.8642,0.884,0.8642,0.8704,0.7871
fscs,GB,0.8889,0.8919,0.8889,0.89,0.8431
fscs,XGB,0.916,0.9184,0.916,0.9169,0.8663
fscs,LGBM,0.8963,0.8986,0.8963,0.8972,0.8396
etc,LR,0.8469,0.8693,0.8469,0.8542,0.7678
etc,DT,0.8469,0.8499,0.8469,0.8481,0.787
etc,RF,0.9037,0.9062,0.9037,0.9047,0.8463
etc,KNN,0.8691,0.8875,0.8691,0.8746,0.808
etc,SVM,0.8864,0.9018,0.8864,0.891,0.8277
etc,GB,0.8963,0.9006,0.8963,0.8978,0.8558
etc,XGB,0.9086,0.91,0.9086,0.9092,0.8506
etc,LGBM,0.8988,0.9026,0.8988,0.9002,0.8374
pc,LR,0.842,0.8633,0.842,0.8489,0.7659
pc,DT,0.8667,0.8661,0.8667,0.8663,0.8044
pc,RF,0.9111,0.9111,0.9111,0.9111,0.849
pc,KNN,0.8765,0.8926,0.8765,0.8813,0.808
pc,SVM,0.8914,0.9037,0.8914,0.8949,0.8336
pc,GB,0.9012,0.904,0.9012,0.9023,0.8563
pc,XGB,0.9136,0.9134,0.9136,0.9135,0.8632
pc,LGBM,0.9086,0.9094,0.9086,0.909,0.8502
mi,LR,0.842,0.8659,0.842,0.8491,0.7683
mi,DT,0.879,0.8803,0.879,0.8795,0.8179
mi,RF,0.8914,0.8922,0.8914,0.8917,0.8354
mi,KNN,0.8617,0.8799,0.8617,0.8672,0.7995
mi,SVM,0.879,0.8966,0.879,0.8843,0.8097
mi,GB,0.8938,0.8962,0.8938,0.8947,0.8436
mi,XGB,0.9136,0.9138,0.9136,0.9137,0.8586
mi,LGBM,0.9037,0.9048,0.9037,0.9042,0.8471
mir,LR,0.842,0.8659,0.842,0.8491,0.7683
mir,DT,0.879,0.8803,0.879,0.8795,0.8179
mir,RF,0.8914,0.8922,0.8914,0.8917,0.8354
mir,KNN,0.8617,0.8799,0.8617,0.8672,0.7995
mir,SVM,0.879,0.8966,0.879,0.8843,0.8097
mir,GB,0.8938,0.8962,0.8938,0.8947,0.8436
mir,XGB,0.9136,0.9138,0.9136,0.9137,0.8586
mir,LGBM,0.9037,0.9048,0.9037,0.9042,0.8471
mu,LR,0.8296,0.8524,0.8296,0.8366,0.7531
mu,DT,0.8691,0.8746,0.8691,0.871,0.8029
mu,RF,0.8988,0.9015,0.8988,0.8997,0.8366
mu,KNN,0.8691,0.8875,0.8691,0.8746,0.808
mu,SVM,0.8815,0.8947,0.8815,0.8856,0.8161
mu,GB,0.8988,0.9018,0.8988,0.8997,0.8441
mu,XGB,0.9037,0.9039,0.9037,0.9037,0.8534
mu,LGBM,0.9062,0.9071,0.9062,0.9064,0.8505
vt,LR,0.8296,0.8562,0.8296,0.8379,0.7579
vt,DT,0.7975,0.8014,0.7975,0.7992,0.7065
vt,RF,0.8691,0.8739,0.8691,0.8711,0.799
vt,KNN,0.8222,0.8578,0.8222,0.8321,0.7554
vt,SVM,0.8148,0.8347,0.8148,0.8214,0.7447
vt,GB,0.8543,0.8631,0.8543,0.8576,0.7877
vt,XGB,0.8543,0.8567,0.8543,0.8551,0.7994
vt,LGBM,0.8568,0.8607,0.8568,0.8583,0.8076
