Feature_Method,Model,Best_Params,CV_F1_Macro,Test_Accuracy,Test_F1_Macro
rfe,LR,"{'C': 1, 'solver': 'saga'}",0.8866,0.8444,0.7671
rfe,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.9085,0.8667,0.8009
rfe,RF,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 300}",0.9531,0.9012,0.8454
rfe,KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.9469,0.8741,0.8161
rfe,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9557,0.9062,0.8481
rfe,GB,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.9534,0.8938,0.8482
rfe,XGB,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.9563,0.8815,0.8205
rfe,LGBM,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.9551,0.8963,0.8435
skb,LR,"{'C': 0.1, 'solver': 'lbfgs'}",0.8856,0.8444,0.7645
skb,DT,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.9097,0.8519,0.7947
skb,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300}",0.9525,0.9086,0.852
skb,KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.9459,0.8864,0.823
skb,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9566,0.8889,0.8081
skb,GB,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9486,0.9037,0.8428
skb,XGB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.9537,0.9086,0.8471
skb,LGBM,"{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31}",0.9522,0.9086,0.8502
fscs,LR,"{'C': 1, 'solver': 'saga'}",0.8745,0.8395,0.7526
fscs,DT,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.9085,0.8469,0.7757
fscs,RF,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.9516,0.8914,0.8354
fscs,KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.9407,0.8519,0.7841
fscs,SVM,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.9508,0.8963,0.8171
fscs,GB,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.9506,0.8988,0.8523
fscs,XGB,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.9496,0.8988,0.8526
fscs,LGBM,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.9541,0.9012,0.8475
etc,LR,"{'C': 10, 'solver': 'lbfgs'}",0.8868,0.8444,0.763
etc,DT,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.9116,0.8444,0.7917
etc,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.9542,0.9012,0.8379
etc,KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.943,0.8815,0.8133
etc,SVM,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.9557,0.8914,0.7986
etc,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9515,0.9037,0.8497
etc,XGB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.957,0.8988,0.846
etc,LGBM,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}",0.9577,0.8988,0.837
pc,LR,"{'C': 0.1, 'solver': 'lbfgs'}",0.8856,0.8444,0.7645
pc,DT,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.9097,0.8519,0.7947
pc,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300}",0.9525,0.9086,0.852
pc,KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.9459,0.8864,0.823
pc,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9566,0.8889,0.8081
